Srno,Company_Name,Bid_Opening_Date,Bid_Closing_Date,Face_Value,Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Issue_size,Fresh_issue,Offer_for_sale,Basis_of_Allotment_Date,Initiation_of_refunds,Credit_of_shares_to_demat_account,Listing_date,Listing_day,Listing_year,BSE_script_code,NSE_symbol,Listing_in,ISIN,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Registrar_Name,Pre_Issue_Share_Holding,Post_Issue_Share_Holding,NSE_Listing_day_open,NSE_Listing_day_low,NSE_Listing_day_high,NSE_Listing_day_last_trade,NSE_Listing_day_volume,NSE_SME_Listing_day_open,NSE_SME_Listing_day_low,NSE_SME_Listing_day_high,NSE_SME_Listing_day_last_trade,NSE_SME_Listing_day_volume,BSE_Listing_day_open,BSE_Listing_day_low,BSE_Listing_day_high,BSE_Listing_day_last_trade,BSE_Listing_day_volume,BSE_SME_Listing_day_open,BSE_SME_Listing_day_low,BSE_SME_Listing_day_high,BSE_SME_Listing_day_last_trade,BSE_SME_Listing_day_volume
11,Gayatri Projects Limited ,"Sep 26, 2006","Sep 29, 2006",10,275,295,20,BSE,"2,900,000 Eq Shares of ₹10 (aggregating up to ₹85.55 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, October 17, 2006",Tuesday,2006,532767,GAYAPROJ,NaN,INE336H01015,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,333.00,293.40,348.00,298.85,4680271,NaN,NaN,NaN,NaN,NaN
12,JHS Svendgaard Laboratories Ltd ,"Sep 26, 2006","Oct 4, 2006",10,49,58,NaN,"BSE, NSE","6,200,000 Eq Shares of ₹10 (aggregating up to ₹35.96 Cr)",NaN,NaN,NaN,NaN,NaN,"Saturday, October 21, 2006",Saturday,2006,532771,JHS,NaN,INE544H01014,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,95.00,55.00,95.00,56.95,678056,NaN,NaN,NaN,NaN,NaN,60.25,56.00,62.00,57.05,877664,NaN,NaN,NaN,NaN,NaN
13,Hanung Toys And Textiles Ltd ,"Sep 28, 2006","Oct 5, 2006",10,85,95,60,"BSE, NSE","9,500,000 Eq Shares of ₹10 (aggregating up to ₹90.25 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 20, 2006",Friday,2006,532770,HANUNG,NaN,INE648H01013,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,100.55,89.70,109.70,96.70,10885952,NaN,NaN,NaN,NaN,NaN,122.00,89.55,122.00,96.45,12039884,NaN,NaN,NaN,NaN,NaN
14,Accel Frontline Limited ,"Sep 28, 2006","Oct 5, 2006",10,75,90,70,"BSE, NSE","5,635,950 Eq Shares of ₹10 (aggregating up to ₹42.27 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 30, 2006",Monday,2006,532774,AFL,NaN,INE020G01017,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,77.00,69.30,80.00,70.50,2534268,NaN,NaN,NaN,NaN,NaN,77.90,70.00,77.90,70.70,2664840,NaN,NaN,NaN,NaN,NaN
15,Global Vectra Helicorp Ltd ,"Sep 29, 2006","Oct 6, 2006",10,175,200,30,"BSE, NSE","3,500,000 Eq Shares of ₹10 (aggregating up to ₹64.75 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 27, 2006",Friday,2006,532773,GLOBALVECT,NaN,INE792H01019,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,250.00,170.05,250.00,187.50,2872269,NaN,NaN,NaN,NaN,NaN,175.00,175.00,195.00,187.40,2702638,NaN,NaN,NaN,NaN,NaN
16,Development Credit Bank Ltd ,"Sep 29, 2006","Oct 6, 2006",10,22,26,250,"BSE, NSE","71,500,000 Eq Shares of ₹10 (aggregating up to ₹185.90 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 27, 2006",Friday,2006,532772,DCBBANK,NaN,INE503A01015,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,35.00,35.00,48.70,47.45,81863292,NaN,NaN,NaN,NaN,NaN,35.35,35.35,48.65,47.50,57675900,NaN,NaN,NaN,NaN,NaN
17,Zenith Birla (India) Limited FPO (Zenith Birla FPO) Detail,"Oct 16, 2006","Oct 20, 2006",10,55,55,NaN,BSE,"23,818,182 Eq Shares of ₹10 (aggregating up to ₹131.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, November 20, 2006",Monday,2006,531845,ZENITHBIR,T,INE318D01020,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.00,44.00,53.45,48.20,1643936,NaN,NaN,NaN,NaN,NaN
18,Info Edge India Ltd (Naukri.com) ,"Oct 30, 2006","Nov 2, 2006",10,290,320,20,"BSE, NSE","5,323,851 Eq Shares of ₹10 (aggregating up to ₹170.36 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, November 21, 2006",Tuesday,2006,532777,NAUKRI,NaN,INE663F01024,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,451.05,451.05,623.80,592.55,11598927,NaN,NaN,NaN,NaN,NaN,480.00,480.00,623.80,593.20,7801094,NaN,NaN,NaN,NaN,NaN
19,Parsvnath Developers Limited ,"Nov 6, 2006","Nov 10, 2006",10,250,300,NaN,"BSE, NSE","33,238,000 Eq Shares of ₹10 (aggregating up to ₹997.14 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, November 30, 2006",Thursday,2006,532780,PARSVNATH,B,INE561H01026,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,456.70,456.70,575.65,526.40,47828017,NaN,NaN,NaN,NaN,NaN,540.00,481.50,579.00,526.30,16015041,NaN,NaN,NaN,NaN,NaN
20,Lanco Infratech Limited ,"Nov 6, 2006","Nov 10, 2006",10,200,240,NaN,"BSE, NSE","44,472,381 Eq Shares of ₹10 (aggregating up to ₹1,067.34 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, November 27, 2006",Monday,2006,532778,LITL,A,INE785C01048,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,270.00,240.00,290.00,241.40,19342596,NaN,NaN,NaN,NaN,NaN,270.00,239.55,275.00,241.40,10314612,NaN,NaN,NaN,NaN,NaN
21,Sobha Developers Ltd ,"Nov 23, 2006","Nov 29, 2006",10,550,640,NaN,"BSE, NSE","8,893,332 Eq Shares of ₹10 (aggregating up to ₹569.17 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, December 20, 2006",Wednesday,2006,532784,SOBHA,NaN,INE671H01015,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,"1,120.00",918.05,"1,248.00",926.65,13380843,NaN,NaN,NaN,NaN,NaN,"1,111.25",918.10,"1,179.00",968.75,7338345,NaN,NaN,NaN,NaN,NaN
22,Blue Bird Limited ,"Nov 16, 2006","Nov 22, 2006",10,90,105,60,"BSE, NSE","8,775,000 Eq Shares of ₹10 (aggregating up to ₹92.14 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, December 11, 2006",Monday,2006,532781,BLUEBIRD,B1,NaN,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,128.00,91.00,128.00,94.65,4854588,NaN,NaN,NaN,NaN,NaN,109.00,92.10,109.00,94.85,5305891,NaN,NaN,NaN,NaN,NaN
23,Gulshan Sugars & Chemicals Ltd FPO (Gulshan Sugars FPO) Detail,"Nov 22, 2006","Nov 28, 2006",8,40,40,NaN,BSE,"6,600,000 Eq Shares of ₹8 (aggregating up to ₹26.40 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, December 28, 2006",Thursday,2006,524184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.00,37.00,37.00,37.00,86823,NaN,NaN,NaN,NaN,NaN
24,Ruchira Papers Limited ,"Nov 23, 2006","Nov 29, 2006",10,21,23,NaN,"BSE, NSE","10,217,000 Eq Shares of ₹10 (aggregating up to ₹23.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, December 20, 2006",Wednesday,2006,532785,RUCHIRA,B1,INE803H01014,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,24.00,20.70,24.50,21.05,3901755,NaN,NaN,NaN,NaN,NaN,24.35,20.65,24.35,20.95,4117994,NaN,NaN,NaN,NaN,NaN
25,L.T. Overseas Limited ,"Nov 27, 2006","Nov 30, 2006",10,50,56,125,"BSE, NSE","7,036,714 Eq Shares of ₹10 (aggregating up to ₹39.40 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, December 18, 2006",Monday,2006,532783,DAAWAT,NaN,INE818H01012,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,60.00,51.25,61.95,53.20,5173941,NaN,NaN,NaN,NaN,NaN,60.00,51.00,62.90,55.00,5413788,NaN,NaN,NaN,NaN,NaN
26,KLRF Limited FPO (KLRF ,"Nov 27, 2006","Dec 1, 2006",10,55,55,NaN,BSE,"2,600,000 Eq Shares of ₹10 (aggregating up to ₹14.30 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, December 26, 2006",Tuesday,2006,507598,KLRF,NaN,INE014E01015,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.50,50.30,55.50,52.80,31056,NaN,NaN,NaN,NaN,NaN
27,XL Telecom Ltd ,"Dec 4, 2006","Dec 7, 2006",10,125,150,45,"BSE, NSE","3,956,808 Eq Shares of ₹10 (aggregating up to ₹59.35 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, December 28, 2006",Thursday,2006,532788,XLENERGY,B1,INE183H01011,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,165.00,133.30,174.90,135.35,4299475,NaN,NaN,NaN,NaN,NaN,177.10,134.10,177.10,136.00,3452419,NaN,NaN,NaN,NaN,NaN
28,Cairn India Ltd ,"Dec 11, 2006","Dec 15, 2006",10,160,190,35,"BSE, NSE","328,799,675 Eq Shares of ₹10 (aggregating up to ₹5,260.79 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, January 9, 2007",Tuesday,2007,532792,CAIRN,A,INE910H01017,NaN,NaN,NaN,1.14,Bigshare Services Pvt Ltd,NaN,NaN,152.00,128.80,162.00,137.40,67909138,NaN,NaN,NaN,NaN,NaN,140.00,128.65,155.00,137.50,32620172,NaN,NaN,NaN,NaN,NaN
29,Ess Dee Aluminium Ltd ,"Dec 4, 2006","Dec 8, 2006",10,200,225,25,"BSE, NSE","6,960,000 Eq Shares of ₹10 (aggregating up to ₹156.60 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, December 28, 2006",Thursday,2006,532787,ESSDEE,B1,INE825H01017,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,265.00,235.10,265.00,238.30,7180599,NaN,NaN,NaN,NaN,NaN,260.00,235.25,261.90,238.45,6171338,NaN,NaN,NaN,NaN,NaN
30,Tanla Solutions Ltd ,"Dec 11, 2006","Dec 14, 2006",2,230,265,25,"BSE, NSE","14,296,500 Eq Shares of ₹2 (aggregating up to ₹378.86 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, January 5, 2007",Friday,2007,532790,TANLA,NaN,INE483C01032,NaN,NaN,NaN,38.65,KFintech Private Limited,NaN,NaN,377.40,364.95,379.85,379.85,6472632,NaN,NaN,NaN,NaN,NaN,379.80,365.00,379.80,379.80,3265404,NaN,NaN,NaN,NaN,NaN
31,Nissan Copper Ltd ,"Dec 4, 2006","Dec 8, 2006",10,33,39,160,"BSE, NSE","6,410,257 Eq Shares of ₹10 (aggregating up to ₹25.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, December 29, 2006",Friday,2006,532789,NISSAN,B1,INE846H01021,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,39.00,39.00,136.90,130.90,69969755,NaN,NaN,NaN,NaN,NaN,40.00,40.00,135.70,128.80,61126885,NaN,NaN,NaN,NaN,NaN
32,Lumax Auto Technologies Ltd ,"Dec 14, 2006","Dec 21, 2006",10,75,75,NaN,"BSE, NSE","3,012,000 Eq Shares of ₹10 (aggregating up to ₹22.59 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, January 16, 2007",Tuesday,2007,532796,LUMAXTECH,B1,INE872H01019,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,80.00,75.00,143.00,110.70,7242230,NaN,NaN,NaN,NaN,NaN,75.50,75.50,142.10,110.60,6275593,NaN,NaN,NaN,NaN,NaN
33,Pyramid Saimira Theatre Ltd ,"Dec 11, 2006","Dec 18, 2006",10,88,100,60,"BSE, NSE","8,444,000 Eq Shares of ₹10 (aggregating up to ₹84.44 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, January 5, 2007",Friday,2007,532791,PSTL,B1,NaN,NaN,NaN,NaN,16.26,Cameo Corporate Services Limited,NaN,NaN,106.00,106.00,163.80,157.70,15771480,NaN,NaN,NaN,NaN,NaN,135.00,125.00,163.85,158.20,16969613,NaN,NaN,NaN,NaN,NaN
34,Shree Ashtavinayak Cine Vision ,"Dec 14, 2006","Dec 20, 2006",10,140,160,NaN,"BSE, NSE","3,300,000 Eq Shares of ₹10 (aggregating up to ₹52.80 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, January 10, 2007",Wednesday,2007,532793,SHREEASHTA,B,INE538H01016,NaN,NaN,NaN,6.04,Link Intime India Private Ltd,NaN,NaN,193.00,175.00,248.00,225.40,17310656,NaN,NaN,NaN,NaN,NaN,189.90,185.10,248.10,226.50,16047126,NaN,NaN,NaN,NaN,NaN
35,Cambridge Technology Enterprises Ltd ,"Dec 29, 2006","Jan 9, 2007",10,38,38,NaN,"BSE, NSE","6,315,800 Eq Shares of ₹10 (aggregating up to ₹24.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, February 7, 2007",Wednesday,2007,532801,CTE,B1,INE627H01017,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,45.00,45.00,109.70,100.90,29577947,NaN,NaN,NaN,NaN,NaN,48.90,48.00,108.00,99.95,26411512,NaN,NaN,NaN,NaN,NaN
36,Autoline Industries Limited ,"Jan 8, 2007","Jan 12, 2007",10,200,225,25,"BSE, NSE","3,333,333 Eq Shares of ₹10 (aggregating up to ₹75.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, January 31, 2007",Wednesday,2007,532797,AUTOIND,B1,INE718H01014,NaN,NaN,NaN,17.36,Link Intime India Private Ltd,NaN,NaN,230.00,230.00,287.70,257.15,5335774,NaN,NaN,NaN,NaN,NaN,261.15,252.25,282.00,257.95,5762098,NaN,NaN,NaN,NaN,NaN
37,House of Pearl Fashions Ltd ,"Jan 16, 2007","Jan 23, 2007",10,525,600,10,"BSE, NSE","5,984,994 Eq Shares of ₹10 (aggregating up to ₹329.17 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, February 15, 2007",Thursday,2007,532808,PGIL,B1,INE940H01014,NaN,NaN,NaN,3.91,Link Intime India Private Ltd,NaN,NaN,499.90,444.20,525.00,469.95,8237003,NaN,NaN,NaN,NaN,NaN,500.00,445.05,580.25,469.40,7118804,NaN,NaN,NaN,NaN,NaN
38,Global Broadcast News Ltd ,"Jan 15, 2007","Jan 18, 2007",10,230,250,25,"BSE, NSE","4,200,000 Eq Shares of ₹10 (aggregating up to ₹105.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, February 8, 2007",Thursday,2007,532800,TV18BRDCST,B1,INE886H01027,NaN,NaN,NaN,48.74,Link Intime India Private Ltd,NaN,NaN,425.00,425.00,518.80,505.90,18379066,NaN,NaN,NaN,NaN,NaN,417.10,381.25,524.00,510.10,13080245,NaN,NaN,NaN,NaN,NaN
39,Pochiraju Industries Limited ,"Jan 15, 2007","Jan 18, 2007",10,25,30,200,"BSE, NSE","12,534,625 Eq Shares of ₹10 (aggregating up to ₹37.60 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, February 9, 2007",Friday,2007,532803,POCHIRAJU,B1,INE332G01032,NaN,NaN,NaN,3.77,Aarthi Consultants Pvt Ltd.,NaN,NaN,45.10,35.55,63.70,49.65,49660429,NaN,NaN,NaN,NaN,NaN,45.00,35.05,64.00,49.15,33001667,NaN,NaN,NaN,NaN,NaN
40,Cinemax India Ltd ,"Jan 18, 2007","Jan 24, 2007",10,135,155,45,"BSE, NSE","8,920,000 Eq Shares of ₹10 (aggregating up to ₹138.26 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, February 14, 2007",Wednesday,2007,532807,CINELINE,B1,INE704H01022,NaN,NaN,NaN,42.32,Link Intime India Private Ltd,NaN,NaN,166.00,145.30,167.40,152.30,13220318,NaN,NaN,NaN,NaN,NaN,175.00,145.00,178.90,152.35,10906105,NaN,NaN,NaN,NaN,NaN
41,Akruti Nirman Limited ,"Jan 15, 2007","Jan 19, 2007",10,475,540,12,"BSE, NSE","6,700,000 Eq Shares of ₹10 (aggregating up to ₹361.80 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, February 7, 2007",Wednesday,2007,532799,HUBTOWN,B1,INE703H01016,NaN,NaN,NaN,81.05,Link Intime India Private Ltd,NaN,NaN,724.45,551.25,730.00,563.45,8573402,NaN,NaN,NaN,NaN,NaN,701.35,552.35,729.00,564.00,7653469,NaN,NaN,NaN,NaN,NaN
42,Technocraft Industries (India) Ltd ,"Jan 18, 2007","Jan 23, 2007",10,95,105,65,"BSE, NSE","8,320,000 Eq Shares of ₹10 (aggregating up to ₹87.36 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, February 12, 2007",Monday,2007,532804,TIIL,B1,INE545H01011,NaN,NaN,NaN,10.67,Datamatics Financial Services Ltd,NaN,NaN,137.00,97.00,140.00,100.05,13121403,NaN,NaN,NaN,NaN,NaN,125.00,97.35,130.00,100.90,9865529,NaN,NaN,NaN,NaN,NaN
43,Power Finance Corporation Ltd. ,"Jan 31, 2007","Feb 6, 2007",10,73,85,80,"BSE, NSE","117,316,700 Eq Shares of ₹10 (aggregating up to ₹997.19 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, February 23, 2007",Friday,2007,532810,PFC,A,INE134E01011,NaN,NaN,NaN,77.24,KFintech Private Limited,NaN,NaN,113.00,105.55,119.40,111.65,92113982,NaN,NaN,NaN,NaN,NaN,104.00,103.50,117.00,111.55,40665778,NaN,NaN,NaN,NaN,NaN
44,Redington (India) Limited ,"Jan 22, 2007","Jan 25, 2007",10,95,113,60,"BSE, NSE","13,231,000 Eq Shares of ₹10 (aggregating up to ₹149.51 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, February 15, 2007",Thursday,2007,532805,REDINGTON,B,INE891D01026,NaN,NaN,NaN,43.27,Cameo Corporate Services Limited,NaN,NaN,130.00,113.00,174.40,163.70,37494246,NaN,NaN,NaN,NaN,NaN,140.00,125.00,174.45,163.25,26472215,NaN,NaN,NaN,NaN,NaN
45,Transwarranty Finance Ltd ,"Jan 23, 2007","Feb 2, 2007",10,48,55,120,"BSE, NSE","6,000,000 Eq Shares of ₹10 (aggregating up to ₹31.20 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, February 26, 2007",Monday,2007,532812,TFL,B1,INE804H01012,NaN,NaN,NaN,1.59,Link Intime India Private Ltd,NaN,NaN,56.00,45.55,60.90,47.45,5419044,NaN,NaN,NaN,NaN,NaN,60.00,46.10,63.00,47.25,6789016,NaN,NaN,NaN,NaN,NaN
46,Indian Bank ,"Feb 5, 2007","Feb 9, 2007",10,77,91,75,"BSE, NSE","85,950,000 Eq Shares of ₹10 (aggregating up to ₹782.15 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, March 1, 2007",Thursday,2007,532814,INDIANB,B1,INE562A01011,NaN,NaN,NaN,32.16,Cameo Corporate Services Limited,NaN,NaN,93.90,75.00,100.25,98.35,54802922,NaN,NaN,NaN,NaN,NaN,105.00,77.00,105.00,98.30,30810511,NaN,NaN,NaN,NaN,NaN
47,Firstsource Solutions Limited ,"Jan 29, 2007","Feb 2, 2007",10,54,64,100,"BSE, NSE","69,300,000 Eq Shares of ₹10 (aggregating up to ₹443.52 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, February 22, 2007",Thursday,2007,532809,FSL,B1,INE684F01012,NaN,NaN,NaN,50.07,Sharepro Services Private Limited,NaN,NaN,90.10,76.55,90.10,79.55,53656750,NaN,NaN,NaN,NaN,NaN,75.10,75.10,88.90,79.60,28853060,NaN,NaN,NaN,NaN,NaN
