Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Listing_day_open,Listing_day_last_trade,Bidding_Period,Bid_Opening_Month,Bid_Closing_Month
130.0,138.0,50.0,1,0.31,2.76,4.68,2.21,146.1,229.75,2,9,9
130.0,150.0,45.0,1,0.24,4.7,6.18,2.99,157.2,57.0,5,9,10
145.0,155.0,40.0,1,0.51,2.35,1.6,1.17,155.95,165.97500000000002,6,9,10
180.0,186.0,30.0,1,1.03,1.56,2.35,1.57,185.0,317.975,7,9,10
100.0,110.0,50.0,1,1.02,0.93,2.5,1.53,112.5,145.925,6,9,10
70.0,84.0,80.0,1,0.0,0.02,3.35,1.18,75.5,23.075,5,9,10
90.0,106.0,60.0,1,7.07,1.7,3.4,4.93,100.5,97.0,5,3,3
74.0,80.0,80.0,1,6.01,8.0,2.17,4.8,86.05,90.35,2,3,3
120.0,126.0,45.0,1,1.29,1.91,0.68,1.15,115.025,111.1,2,4,4
146.0,155.0,40.0,1,4.68,2.19,0.55,2.54,152.5,160.125,2,5,5
55.0,60.0,100.0,1,1.15,0.38,1.13,1.03,56.075,55.3,5,6,7
225.0,230.0,50.0,1,1.49,3.1,2.05,1.98,242.0,229.925,2,11,11
700.0,750.0,20.0,1,45.8,110.96,6.18,40.98,944.5,923.25,4,12,12
125.0,135.0,90.0,1,7.33,18.12,1.68,6.85,136.25,149.1,2,12,12
210.0,240.0,50.0,1,2.84,0.29,0.19,1.3,200.0,191.425,3,12,12
195.0,215.0,66.0,1,1.52,1.39,0.79,1.2,215.0,204.275,4,2,2
165.0,172.0,75.0,1,3.39,0.35,0.51,1.65,162.475,161.325,2,3,3
85.0,90.0,150.0,1,9.09,9.7,2.17,6.74,97.3,99.25,3,12,12
145.0,150.0,100.0,1,3.93,0.23,2.48,2.83,150.4,148.575,6,2,2
115.0,125.0,100.0,1,16.71,159.04,7.55,38.06,162.375,157.7,2,4,4
44.0,47.0,300.0,1,16.98,221.79,41.26,59.75,75.5,79.275,2,8,8
145.0,156.0,90.0,1,32.06,251.35,5.85,59.97,257.05,231.2,4,9,9
155.0,170.0,85.0,1,5.69,8.64,7.79,7.39,180.0,171.0,2,9,9
630.0,645.0,23.0,1,13.96,1.71,6.96,7.83,584.5,566.8499999999999,2,12,12
315.0,325.0,45.0,1,35.68,35.38,2.15,18.6,400.0,438.2,2,3,3
181.0,200.0,75.0,1,1.0,0.09,0.39,0.76,170.525,167.1,2,3,3
180.0,215.0,65.0,1,1.17,0.69,1.3,1.09,165.075,191.375,2,3,3
195.0,205.0,65.0,1,58.22,250.86,7.92,74.26,288.0,293.70000000000005,2,4,4
63.0,65.0,225.0,1,1.02,1.51,0.97,1.11,64.0,59.675,2,4,4
615.0,625.0,24.0,1,4.49,1.17,1.02,2.04,600.0,598.05,2,4,4
355.0,378.0,35.0,1,4.51,0.65,0.28,1.56,384.0,360.35,4,5,5
290.0,320.0,45.0,1,1.98,0.38,1.16,1.4,295.5,327.3,2,6,6
240.0,250.0,60.0,1,51.47,90.24,4.78,32.05,295.0,310.475,2,7,7
615.0,640.0,20.0,1,27.53,133.22,3.42,38.12,620.0,582.875,4,8,8
147.0,155.0,95.0,1,6.47,0.9,1.62,2.85,152.0,166.625,2,8,8
170.0,178.0,80.0,1,2.2,1.44,0.41,1.15,163.975,163.5,2,8,8
115.0,126.0,102.0,1,0.88,1.42,0.34,0.77,114.0,116.15,7,8,9
